year,month,icen
1999,3,-0.42
1999,4,-0.44
1999,5,-0.67
1999,6,-0.46
1999,7,-0.32
1999,8,-0.46
1999,9,-0.69
1999,10,-1.08
1999,11,-0.96
1999,12,-0.91
2000,1,-0.66
2000,2,-0.56
2000,3,-0.3
2000,4,-0.21
2000,5,-0.16
2000,6,-0.25
2000,7,-0.37
2000,8,-0.36
2000,9,-0.37
2000,10,-0.59
2000,11,-0.86
2000,12,-0.95
2001,1,-0.68
2001,2,-0.25
2001,3,0.02
2001,4,-0.05
2001,5,-0.39
2001,6,-0.67
2001,7,-0.75
2001,8,-0.88
2001,9,-1.07
2001,10,-1.09
2001,11,-1.04
2001,12,-0.89
2002,1,-0.59
2002,2,0.04
2002,3,0.57
2002,4,0.81
2002,5,0.67
2002,6,0.3
2002,7,-0.03
2002,8,-0.12
2002,9,0.07
2002,10,0.48
2002,11,0.79
2002,12,0.74
2003,1,0.4
2003,2,0.04
2003,3,-0.19
2003,4,-0.69
2003,5,-1.12
2003,6,-1.3
2003,7,-0.78
2003,8,-0.51
2003,9,-0.1
2003,10,-0.01
2003,11,0.22
2003,12,0.1
2004,1,0.02
2004,2,-0.27
2004,3,-0.39
2004,4,-0.89
2004,5,-1.01
2004,6,-1.11
2004,7,-0.86
2004,8,-0.62
2004,9,-0.32
2004,10,0.16
2004,11,0.38
2004,12,0.36
2005,1,-0.17
2005,2,-0.74
2005,3,-0.88
2005,4,-0.68
2005,5,-0.46
2005,6,-0.46
2005,7,-0.5
2005,8,-0.52
2005,9,-0.84
2005,10,-1.18
2005,11,-1.23
2005,12,-0.92
2006,1,-0.37
2006,2,-0.15
2006,3,-0.52
2006,4,-0.78
2006,5,-0.76
2006,6,-0.19
2006,7,0.23
2006,8,0.62
2006,9,0.91
2006,10,0.94
2006,11,0.86
2006,12,0.72
2007,1,0.5
2007,2,0.05
2007,3,-0.59
2007,4,-1.22
2007,5,-1.54
2007,6,-1.46
2007,7,-1.26
2007,8,-1.05
2007,9,-1.23
2007,10,-1.41
2007,11,-1.64
2007,12,-1.29
2008,1,-0.64
2008,2,0.04
2008,3,0.34
2008,4,0.44
2008,5,0.5
2008,6,0.69
2008,7,0.98
2008,8,1.13
2008,9,0.92
2008,10,0.37
2008,11,-0.12
2008,12,-0.3
2009,1,-0.43
2009,2,-0.55
2009,3,-0.36
2009,4,-0.02
2009,5,0.47
2009,6,0.58
2009,7,0.75
2009,8,0.7
2009,9,0.56
2009,10,0.39
2009,11,0.42
2009,12,0.41
2010,1,0.35
2010,2,0.18
2010,3,0.05
2010,4,0.09
2010,5,0.07
2010,6,-0.24
2010,7,-0.75
2010,8,-1.16
2010,9,-1.24
2010,10,-1.25
2010,11,-1.13
2010,12,-0.88
2011,1,-0.5
2011,2,-0.5
2011,3,-0.4
2011,4,-0.31
2011,5,0.08
2011,6,0.18
2011,7,0.08
2011,8,-0.28
2011,9,-0.59
2011,10,-0.71
2011,11,-0.67
2011,12,-0.46
2012,1,-0.15
2012,2,0.11
2012,3,0.47
2012,4,0.65
2012,5,0.94
2012,6,0.77
2012,7,0.5
2012,8,0.18
2012,9,-0.07
2012,10,-0.23
2012,11,-0.53
2012,12,-0.63
2013,1,-0.73
2013,2,-0.67
2013,3,-0.85
2013,4,-1.13
2013,5,-1.54
2013,6,-1.66
2013,7,-1.52
2013,8,-1.15
2013,9,-0.86
2013,10,-0.66
2013,11,-0.55
2013,12,-0.31
2014,1,-0.33
2014,2,-0.29
2014,3,-0.3
2014,4,0.25
2014,5,0.87
2014,6,1.21
2014,7,1.15
2014,8,0.9
2014,9,0.81
2014,10,0.77
2014,11,0.65
2014,12,0.37
2015,1,-0.06
2015,2,-0.18
2015,3,0.2
2015,4,0.88
2015,5,1.6
2015,6,2.1
2015,7,2.13
2015,8,2.15
2015,9,2.02
2015,10,2.23
2015,11,2.21
2015,12,2.06
2016,1,1.75
2016,2,1.45
2016,3,1.05
2016,4,0.77
2016,5,0.51
2016,6,0.42
2016,7,0.34
2016,8,0.35
2016,9,0.36
2016,10,0.31
2016,11,0.25
2016,12,0.47
2017,1,0.89
2017,2,1.29
2017,3,1.31
2017,4,0.92
2017,5,0.31
2017,6,-0.13
2017,7,-0.32
2017,8,-0.52
2017,9,-0.69
2017,10,-0.97
2017,11,-1.21
2017,12,-1.3
2018,1,-1.25
2018,2,-1.21
2018,3,-1.16
2018,4,-1.07
2018,5,-0.84
2018,6,-0.61
2018,7,-0.46
2018,8,-0.24
2018,9,-0.09
2018,10,0.27
2018,11,0.63
2018,12,0.87
2019,1,0.78
2019,2,0.49
2019,3,0.31
2019,4,0.21
2019,5,0.05
2019,6,-0.28
2019,7,-0.6
2019,8,-0.72
2019,9,-0.74
2019,10,-0.53
2019,11,-0.3
2019,12,-0.18
2020,1,-0.14
2020,2,-0.14
2020,3,0.07
2020,4,0.02
2020,5,-0.2
2020,6,-0.72
2020,7,-1.02
2020,8,-1.19
2020,9,-1.02
2020,10,-0.91
2020,11,-0.76
2020,12,-0.79
2021,1,-0.84
2021,2,-0.83
2021,3,-0.86
2021,4,-0.83
2021,5,-0.7
2021,6,-0.46
2021,7,-0.3
2021,8,-0.41
2021,9,-0.62
2021,10,-0.9
2021,11,-1.23
2021,12,-1.31
2022,1,-1.46
2022,2,-1.14
2022,3,-1.24
2022,4,-1.26
2022,5,-1.51
2022,6,-1.44
2022,7,-1.09
2022,8,-0.93
2022,9,-1.12
2022,10,-1.3
2022,11,-1.1
2022,12,-0.7
2023,1,-0.17
2023,2,0.47
2023,3,1.53
2023,4,2.11
2023,5,2.45
2023,6,2.57
2023,7,2.92
2023,8,2.9
2023,9,2.68
2023,10,2.28
2023,11,2.01
2023,12,1.67
2024,1,1.34
2024,2,0.88
2024,3,0.38
2024,4,-0.38
2024,5,-0.78
2024,6,-0.97
2024,7,-0.72
2024,8,-0.65
2024,9,-0.5
2024,10,-0.34
2024,11,-0.1
2024,12,-0.11
2025,1,0.0
2025,2,0.45
2025,3,0.72
2025,4,0.46
2025,5,0.18
2025,6,0.11
2025,7,0.17
2025,8,-0.01
2025,9,-0.22
2025,10,-0.42
2025,11,-0.5
2025,12,-0.51
2026,1,-0.06
2026,2,0.42
2026,3,0.96
2026,4,1.34
2026,5,1.98
